match_id,season,match_date,match_time,match_year,match_month,iso_weekday,home_team,away_team,home_goals_ft,away_goals_ft,result_ft,home_goals_ht,away_goals_ht,result_ht,total_goals,goal_diff_home,both_teams_scored,over_2_5,clean_sheet_home,clean_sheet_away,home_points,away_points,source_coverage,has_detailed_stats,league_code,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,odds_avg_home_open,odds_avg_draw_open,odds_avg_away_open,odds_avg_over_2_5_open,odds_avg_under_2_5_open,asian_handicap_line_open,odds_avg_asian_home_open,odds_avg_asian_away_open,odds_avg_home_close,odds_avg_draw_close,odds_avg_away_close,odds_avg_over_2_5_close,odds_avg_under_2_5_close,asian_handicap_line_close,odds_avg_asian_home_close,odds_avg_asian_away_close
2008-04-27_valencia_osasuna,2007-08,2008-04-27,,2008,4,7,Valencia,Osasuna,3,0,H,1,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-27_valladolid_almeria,2007-08,2008-04-27,,2008,4,7,Valladolid,Almeria,1,0,H,0,0,D,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-03_ath_madrid_recreativo,2007-08,2008-05-03,,2008,5,6,Ath Madrid,Recreativo,3,0,H,1,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-03_zaragoza_la_coruna,2007-08,2008-05-03,,2008,5,6,Zaragoza,La Coruna,1,0,H,0,0,D,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04_almeria_betis,2007-08,2008-05-04,,2008,5,7,Almeria,Betis,1,1,D,0,1,A,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04_ath_bilbao_mallorca,2007-08,2008-05-04,,2008,5,7,Ath Bilbao,Mallorca,1,2,A,1,1,D,3,-1,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04_barcelona_valencia,2007-08,2008-05-04,,2008,5,7,Barcelona,Valencia,6,0,H,3,0,H,6,6,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04_levante_espanol,2007-08,2008-05-04,,2008,5,7,Levante,Espanol,1,1,D,0,0,D,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04_osasuna_real_madrid,2007-08,2008-05-04,,2008,5,7,Osasuna,Real Madrid,1,2,A,0,0,D,3,-1,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04_santander_murcia,2007-08,2008-05-04,,2008,5,7,Santander,Murcia,3,2,H,1,2,A,5,1,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
